lon,lat,station,variable,strata,Transect,season,data
39.292824,-5.372853,T1S1,Chl,S,1,NE,1.431
39.292824,-5.372853,T1S1,Chl,S,1,SE,1.7869
39.292824,-5.372853,T1S1,Chl,M,1,NE,1.889
39.292824,-5.372853,T1S1,Chl,M,1,SE,1.6684
39.292824,-5.372853,T1S1,Chl,B,1,NE,1.992
39.292824,-5.372853,T1S1,Chl,B,1,SE,1.6522
39.224045,-5.376632,T1S2,Chl,S,1,NE,1.431
39.224045,-5.376632,T1S2,Chl,S,1,SE,1.7707
39.224045,-5.376632,T1S2,Chl,M,1,NE,1.534
39.224045,-5.376632,T1S2,Chl,M,1,SE,1.6522
39.224045,-5.376632,T1S2,Chl,B,1,NE,1.873
39.224045,-5.376632,T1S2,Chl,B,1,SE,1.7715
39.154503,-5.379698,T1S3,Chl,S,1,NE,1.313
39.154503,-5.379698,T1S3,Chl,S,1,SE,2.11
39.154503,-5.379698,T1S3,Chl,M,1,NE,1.652
39.154503,-5.379698,T1S3,Chl,M,1,SE,1.6676
39.154503,-5.379698,T1S3,Chl,B,1,NE,1.652
39.154503,-5.379698,T1S3,Chl,B,1,SE,1.6684
39.092827,-5.386917,T1S4,Chl,S,1,NE,1.534
39.092827,-5.386917,T1S4,Chl,S,1,SE,2.0938
39.092827,-5.386917,T1S4,Chl,M,1,NE,1.755
39.092827,-5.386917,T1S4,Chl,M,1,SE,1.7707
39.092827,-5.386917,T1S4,Chl,B,1,NE,2.892
39.092827,-5.386917,T1S4,Chl,B,1,SE,1.7707
39.3582,-5.268784,T2S1,Chl,S,2,NE,1.416
39.3582,-5.268784,T2S1,Chl,S,2,SE,1.873
39.3582,-5.268784,T2S1,Chl,M,2,NE,1.889
39.3582,-5.268784,T2S1,Chl,M,2,SE,1.6684
39.3582,-5.268784,T2S1,Chl,B,2,NE,2.094
39.3582,-5.268784,T2S1,Chl,B,2,SE,1.8892
39.262367,-5.262367,T2S2,Chl,S,2,NE,1.533
39.262367,-5.262367,T2S2,Chl,S,2,SE,1.7707
39.262367,-5.262367,T2S2,Chl,M,2,NE,1.415
39.262367,-5.262367,T2S2,Chl,M,2,SE,1.8892
39.262367,-5.262367,T2S2,Chl,B,2,NE,1.652
